AccessionNumber_TBDSven;Sample;Associatednumber;DNA_concentration_ng.uL;Station;StationNumber;Stromkilometer;Sample_type;Sample_date;Sat_O2_TBDHereon;Temperature_TBDHereon;Salinity_TBDHereon;Turbidity_TBDHereon;pH_TBDHereon;O2_TBDHereon;SPM_mgperL;DOC_mg.L;TN_mg.L;DIC_mg.L;Silicate_mg.L;Ammonium_mg.L;Nitrite_mg.L;Nitrate_mg.L;Total_DIN_µM;SRP_mgperL;TotalDissolvedPhosphate_mg.L;Ammonium_µM;Nitrite_µM;Nitrate_µM;SRP_µM;Phosphate_µM;Silicate_µM;DOC_uM.L;DIC_uM.L;RespirationRate_O2ug.L.h;POC_mgperL;PTC_mgperL;PTN_mgperL;PTH_mgperL;BioSample;ERANumber
SAMEA110290307;TH2;60;14;Twielenfleth;3;651,32;Heavy_fraction;Jul 21;57,16;21,97;0,4;26.49;7,58;155,6;32;6,9;1,173;18,86;;0,046;0,006;2,042;188,55;0,086;0,091807;0,46;0,29;187,8;NA;3,05;133,25;5,744,877,484;1,570,266,512;;1,895,048,086;1,834,170,894;3,619,247,277;0,9818902;SAMEA110290307;ERS12387915
SAMEA110290308;TF1;61;6,3;Twielenfleth;3;651,32;Free_living;Jul 21;57,16;21,97;0,4;26.49;7,58;155,6;NA;0,3657;0,00274;13,02;;0,041;0,007;2,178;188,55;0,099;0,107493;0,46;0,29;187,8;NA;3,05;133,25;3,044,785,067;1,084,033,404;;;;;;SAMEA110290308;ERS12387916
SAMEA110290309;TF2;62;3,44;Twielenfleth;3;651,32;Free_living;Jul 21;57,16;21,97;0,4;26.49;7,58;155,6;NA;6,9;1,173;18,86;;0,046;0,006;2,042;188,55;0,086;0,091807;0,46;0,29;187,8;NA;3,05;133,25;5,744,877,484;1,570,266,512;;;;;;SAMEA110290309;ERS12387917
SAMEA110290310;BbL1;63;126;Brunsbüttel;5;692;Light_fraction;Jul 21;73,37;22,19;1,39;78.37;7,91;197,64;102,75;3,212;0,487;11,19;;0,031;0,007;1,432;203,44;0,083;0,087578;0,396;0,213;202,831;NA;2,744;65,3;2,674,282,098;9,316,692,616;;618,492,637;1,426,293,705;4,161,250,668;39,275,608;SAMEA110290310;ERS12387918
SAMEA110290311;BbL2;64;30;Brunsbüttel;5;692;Light_fraction;Jul 21;73,37;22,19;1,39;78.37;7,91;197,64;102,75;4,289;0,6347;14,69;;0,024;0,007;1,295;203,44;0,074;0,083803;0,396;0,213;202,831;NA;2,744;65,3;3,570,982,541;122,307,609;;9,402,580,555;9,536,117,622;2,867,119,384;29,456,706;SAMEA110290311;ERS12387919
SAMEA110290312;BbH1;65;34;Brunsbüttel;5;692;Heavy_fraction;Jul 21;73,37;22,19;1,39;78.37;7,91;197,64;380;3,212;0,487;11,19;;0,031;0,007;1,432;203,44;0,083;0,087578;0,396;0,213;202,831;NA;2,744;65,3;2,674,282,098;9,316,692,616;;2,347,601,279;3,963,105,225;3,996,293,114;1,099,717,024;SAMEA110290312;ERS12387920
SAMEA110290313;BbH2;66;86;Brunsbüttel;5;692;Heavy_fraction;Jul 21;73,37;22,19;1,39;78.37;7,91;197,64;380;4,289;0,6347;14,69;;0,024;0,007;1,295;203,44;0,074;0,083803;0,396;0,213;202,831;NA;2,744;65,3;3,570,982,541;122,307,609;;2,805,653,057;3,507,213,605;3,374,756,617;962,252,396;SAMEA110290313;ERS12387921
SAMEA110290314;BbF1;67;2,81;Brunsbüttel;5;692;Free_living;Jul 21;73,37;22,19;1,39;78.37;7,91;197,64;NA;3,212;0,487;11,19;;0,031;0,007;1,432;203,44;0,083;0,087578;0,396;0,213;202,831;NA;2,744;65,3;2,674,282,098;9,316,692,616;;;;;;SAMEA110290314;ERS12387922
SAMEA110290315;BbF2;68;1,12;Brunsbüttel;5;692;Free_living;Jul 21;73,37;22,19;1,39;78.37;7,91;197,64;NA;4,289;0,6347;14,69;;0,024;0,007;1,295;203,44;0,074;0,083803;0,396;0,213;202,831;NA;2,744;65,3;3,570,982,541;122,307,609;;;;;;SAMEA110290315;ERS12387923
SAMEA110290316;SEL1;69;56;Seemanshöft;1,5;629;Light_fraction;Nov 21;92;8;NA;NA;7,897;NA;58;6,713;1,694;19,08;5,668;0,088;0,019;2,366;NA;0,047;0,047;NA;NA;NA;NA;NA;NA;5,589,182,979;1,588,583,513;;;;;;SAMEA110290316;ERS12387924
SAMEA110290317;SEL2;70;54;Seemanshöft;1,5;629;Light_fraction;Nov 21;92;8;NA;NA;7,897;NA;58;8,879;2,522;21,16;5,668;0,088;0,019;2,366;NA;0,047;0,047;NA;NA;NA;NA;NA;NA;7,392,574,954;1,761,762,429;;;;;;SAMEA110290317;ERS12387925
SAMEA110290318;SEH1;71;78;Seemanshöft;1,5;629;Heavy_fraction;Nov 21;92;8;NA;NA;7,897;NA;60;6,713;1,694;19,08;5,668;0,088;0,019;2,366;NA;0,047;0,047;NA;NA;NA;NA;NA;NA;5,589,182,979;1,588,583,513;;;;;;SAMEA110290318;ERS12387926
SAMEA110290319;SEH2;72;77;Seemanshöft;1,5;629;Heavy_fraction;Nov 21;92;8;NA;NA;7,897;NA;60;8,879;2,522;21,16;5,668;0,088;0,019;2,366;NA;0,047;0,047;NA;NA;NA;NA;NA;NA;7,392,574,954;1,761,762,429;;;;;;SAMEA110290319;ERS12387927
SAMEA110290320;SEF1;73;0,402;Seemanshöft;1,5;629;Free_living;Nov 21;92;8;NA;NA;7,897;NA;NA;6,713;1,694;19,08;5,668;0,088;0,019;2,366;NA;0,047;0,047;NA;NA;NA;NA;NA;NA;5,589,182,979;1,588,583,513;;;;;;SAMEA110290320;ERS12387928
SAMEA110290321;SEF2;74;0,195;Seemanshöft;1,5;629;Free_living;Nov 21;92;8;NA;NA;7,897;NA;NA;8,879;2,522;21,16;5,668;0,088;0,019;2,366;NA;0,047;0,047;NA;NA;NA;NA;NA;NA;7,392,574,954;1,761,762,429;;;;;;SAMEA110290321;ERS12387929
SAMEA110290322;KOL1;75;30;Kollmar;4,1;665;Light_fraction;Nov 21;89,5;8,6;NA;NA;7,724;NA;112;6,874;1,776;15,99;5,034;0,056;0,009;1,825;NA;0,048;0,048;NA;NA;NA;NA;NA;NA;572,323,012;1,331,312,913;;;;;;SAMEA110290322;ERS12387930
SAMEA110290323;KOL2;76;23;Kollmar;4,1;665;Light_fraction;Nov 21;89,5;8,6;NA;NA;7,724;NA;112;10,17;2,326;21,81;5,034;0,056;0,009;1,825;NA;0,048;0,048;NA;NA;NA;NA;NA;NA;8,467,449,857;181,588,084;;;;;;SAMEA110290323;ERS12387931
SAMEA110290324;KOH1;77;52;Kollmar;4,1;665;Heavy_fraction;Nov 21;89,5;8,6;NA;NA;7,724;NA;183;6,874;1,776;15,99;5,034;0,056;0,009;1,825;NA;0,048;0,048;NA;NA;NA;NA;NA;NA;572,323,012;1,331,312,913;;;;;;SAMEA110290324;ERS12387932
SAMEA110290325;KOH2;78;32;Kollmar;4,1;665;Heavy_fraction;Nov 21;89,5;8,6;NA;NA;7,724;NA;183;10,17;2,326;21,81;5,034;0,056;0,009;1,825;NA;0,048;0,048;NA;NA;NA;NA;NA;NA;8,467,449,857;181,588,084;;;;;;SAMEA110290325;ERS12387933
SAMEA110290326;KOF1;79;6,6;Kollmar;4,1;665;Free_living;Nov 21;89,5;8,6;NA;NA;7,724;NA;NA;6,874;1,776;15,99;5,034;0,056;0,009;1,825;NA;0,048;0,048;NA;NA;NA;NA;NA;NA;572,323,012;1,331,312,913;;;;;;SAMEA110290326;ERS12387934
SAMEA110290327;KOF2;80;6,2;Kollmar;4,1;665;Free_living;Nov 21;89,5;8,6;NA;NA;7,724;NA;NA;10,17;2,326;21,81;5,034;0,056;0,009;1,825;NA;0,048;0,048;NA;NA;NA;NA;NA;NA;8,467,449,857;181,588,084;;;;;;SAMEA110290327;ERS12387935
SAMEA110290328;ML1;85;11;Mühlenberger Loch;2;633;Light_fraction;Feb 22;82,16;5,27;0,3;50.052827;;324,5;40,8;10,3;4,078;21,97;4,619;0,134;0,02;2,935;;0,03;0,052578;;;;;;;8,575,686,679;1,829,202,295;199,850,109;7,930,727,145;9,140,415,872;1,631,901,512;19,637,804;SAMEA110290328;ERS12387936
SAMEA110290329;ML2;86;9,3;Mühlenberger Loch;2;633;Light_fraction;Feb 22;82,16;5,27;0,3;50.052827;;324,5;40,8;10,34;4,08;21,92;4,664;0,137;0,02;2,954;;0,032;0,05432;;;;;;;8,608,990,317;182,503,934;;7,861,994,831;8,781,044,059;3,619,247,277;186,559,138;SAMEA110290329;ERS12387937
SAMEA110290330;MH1;87;156;Mühlenberger Loch;2;633;Heavy_fraction;Feb 22;82,16;5,27;0,3;50.052827;;324,5;69,6;10,3;4,078;21,97;4,619;0,134;0,02;2,935;;0,03;0,052578;;;;;;;8,575,686,679;1,829,202,295;2,148,116,297;1,103,840,963;1,318,089,404;412,197,506;24,547,255;SAMEA110290330;ERS12387938
SAMEA110290331;MH2;88;44;Mühlenberger Loch;2;633;Heavy_fraction;Feb 22;82,16;5,27;0,3;50.052827;;324,5;69,6;10,34;4,08;21,92;4,664;0,137;0,02;2,954;;0,032;0,05432;;;;;;;8,608,990,317;182,503,934;;1,062,994,331;1,323,195,234;1,483,636,092;24,547,255;SAMEA110290331;ERS12387939
SAMEA110290332;MF1;89;0,037;Mühlenberger Loch;2;633;Free_living;Feb 22;82,16;5,27;0,3;50.052827;;324,5;;10,3;4,078;21,97;4,619;0,134;0,02;2,935;;0,03;0,052578;;;;;;;8,575,686,679;1,829,202,295;;;;;;SAMEA110290332;ERS12387940
SAMEA110290333;MF2;90;9,8;Mühlenberger Loch;2;633;Free_living;Feb 22;82,16;5,27;0,3;50.052827;;324,5;;10,34;4,08;21,92;4,664;0,137;0,02;2,954;;0,032;0,05432;;;;;;;8,608,990,317;182,503,934;;;;;;SAMEA110290333;ERS12387941
SAMEA110290334;SchL1;91;16;Schwarztonnensand;4;665;Light_fraction;Feb 22;76,92;5,77;0,41;51.6223434;;299,68;53,6;10,14;3,883;22,63;4,694;0,042;0,033;2,958;;0,046;0,048012;;;;;;;8,442,472,129;1,884,153,297;1,627,332,543;8,156,561,891;9,248,423,794;3,202,925,832;235,653,648;SAMEA110290334;ERS12387942
SAMEA110290335;SchL2;92;9,5;Schwarztonnensand;4;665;Light_fraction;Feb 22;76,92;5,77;0,41;51.6223434;;299,68;53,6;9,698;3,777;20,07;4,691;0,04;0,033;2,926;;0,044;0,052851;;;;;;;8,074,466,934;1,671,010,016;;7,934,654,706;1,057,692,123;451,767,681;225,834,746;SAMEA110290335;ERS12387943
SAMEA110290336;SchH1;93;15;Schwarztonnensand;4;665;Heavy_fraction;Feb 22;76,92;5,77;0,41;51.6223434;;299,68;66,4;10,14;3,883;22,63;4,694;0,042;0,033;2,958;;0,046;0,048012;;;;;;;8,442,472,129;1,884,153,297;-1,704,086,412;9,291,626,963;1,166,681,936;3,495,529,112;235,653,648;SAMEA110290336;ERS12387944
SAMEA110290337;SchH2;94;24;Schwarztonnensand;4;665;Heavy_fraction;Feb 22;76,92;5,77;0,41;51.6223434;;299,68;66,4;9,698;3,777;20,07;4,691;0,04;0,033;2,926;;0,044;0,052851;;;;;;;8,074,466,934;1,671,010,016;;9,483,095,552;1,145,374,918;4,381,194,072;235,653,648;SAMEA110290337;ERS12387945
SAMEA110290338;SchF1;95;1,17;Schwarztonnensand;4;665;Free_living;Feb 22;76,92;5,77;0,41;51.6223434;;299,68;;10,14;3,883;22,63;4,694;0,042;0,033;2,958;;0,046;0,048012;;;;;;;8,442,472,129;1,884,153,297;;;;;;SAMEA110290338;ERS12387946
SAMEA110290339;SchF2;96;4,53;Schwarztonnensand;4;665;Free_living;Feb 22;76,92;5,77;0,41;51.6223434;;299,68;;9,698;3,777;20,07;4,691;0,04;0,033;2,926;;0,044;0,052851;;;;;;;8,074,466,934;1,671,010,016;;;;;;SAMEA110290339;ERS12387947
SAMEA110290340;MGL1;97;46;Meedem Grund;6;712;Light_fraction;Feb 22;78,26;5,55;2,71;172.2805376;;301,88;1,766,666,667;9,273;3,18;22,42;4,552;0,037;0,006;1,949;;0,052;0,044825;;;;;;;7,720,615,784;1,866,668,887;1,204,666,991;1,151,953,583;1,494,436,884;422,212,786;373,118,276;SAMEA110290340;ERS12387948
SAMEA110290342;MGL2;99;21;Meedem Grund;6;712;Light_fraction;Feb 22;78,26;5,55;2,71;172.2805376;;301,88;1,766,666,667;9,718;3,36;23,47;4,792;0,012;0,007;2,047;;0,054;0,040838;;;;;;;8,091,118,752;1,954,090,936;;1,156,666,656;1,437,683,631;4,286,932,613;373,118,276;SAMEA110290342;ERS12387950
SAMEA110290343;MGH2;100;41;Meedem Grund;6;712;Heavy_fraction;Feb 22;78,26;5,55;2,71;172.2805376;;301,88;2,886,666,667;9,718;3,36;23,47;4,792;0,012;0,007;2,047;;0,054;0,040838;;;;;;;8,091,118,752;1,954,090,936;;1,942,277,005;2,549,968,849;4,701,290,278;667,685,336;SAMEA110290343;ERS12387951
SAMEA110290344;MGF1;101;44;Meedem Grund;6;712;Free_living;Feb 22;78,26;5,55;2,71;172.2805376;;301,88;;9,273;3,18;22,42;4,552;0,037;0,006;1,949;;0,052;0,044825;;;;;;;7,720,615,784;1,866,668,887;;;;;;SAMEA110290344;ERS12387952
SAMEA110290345;MGF2;102;0,341;Meedem Grund;6;712;Free_living;Feb 22;78,26;5,55;2,71;172.2805376;;301,88;;9,718;3,36;23,47;4,792;0,012;0,007;2,047;;0,054;0,040838;;;;;;;8,091,118,752;1,954,090,936;;;;;;SAMEA110290345;ERS12387953
SAMEA110290346;TL1;103;23;Twielenfleth;3;651;Light_fraction;Feb 22;77,18;5,74;0,38;61.70299606;;301,01;64;10,33;4,042;22,33;4,501;0,085;0,033;2,989;;0,045;0,049112;;;;;;;8,600,664,408;1,859,175,568;168,695,541;1,029,217,308;1,232,272,201;2,579,425,555;255,291,452;SAMEA110290346;ERS12387954
SAMEA110290347;TL2;104;48;Twielenfleth;3;651;Light_fraction;Feb 22;77,18;5,74;0,38;61.70299606;;301,01;64;10,49;3,883;20,86;4,994;0,088;0,033;2,987;;0,038;0,045601;;;;;;;8,733,878,958;17,367,847;;1,054,353,697;1,247,000,554;3,943,271,043;265,110,354;SAMEA110290347;ERS12387955
SAMEA110290348;TH1;105;0,532;Twielenfleth;3;651;Heavy_fraction;Feb 22;77,18;5,74;0,38;61.70299606;;301,01;111,2;10,33;4,042;22,33;4,501;0,085;0,033;2,989;;0,045;0,049112;;;;;;;8,600,664,408;1,859,175,568;1,667,108,698;1,599,891,892;1,995,593,642;481,322,576;363,299,374;SAMEA110290348;ERS12387956
SAMEA110290349;TH2;106;29;Twielenfleth;3;651;Heavy_fraction;Feb 22;77,18;5,74;0,38;61.70299606;;301,01;111,2;10,49;3,883;20,86;4,994;0,088;0,033;2,987;;0,038;0,045601;;;;;;;8,733,878,958;17,367,847;;1,625,617,415;2,000,404,904;4,748,421,007;39,275,608;SAMEA110290349;ERS12387957
SAMEA110290351;TF2;108;44;Twielenfleth;3;651;Free_living;Feb 22;77,18;5,74;0,38;61.70299606;;301,01;;10,49;3,883;20,86;4,994;0,088;0,033;2,987;;0,038;0,045601;;;;;;;8,733,878,958;17,367,847;;;;;;SAMEA110290351;ERS12387959
SAMEA110290352;BbL1;109;200;Brunsbüttel;5;694;Light_fraction;Feb 22;77,03;5,62;0,79;101.3379107;;300,48;96,8;10,75;3,696;23,1;4,833;0,034;0,011;2,597;;0,05;0,045564;;;;;;;8,950,352,602;1,923,285,071;-2,382,044,857;1,214,892,744;1,509,459,804;417,401,524;363,299,374;SAMEA110290352;ERS12387960
SAMEA110290353;BbL2;110;35;Brunsbüttel;5;694;Light_fraction;Feb 22;77,03;5,62;0,79;101.3379107;;300,48;96,8;10,77;3,687;24,18;;0,037;0,011;2,571;;0,048;0,048926;;;;;;;8,967,004,421;2,013,204,892;;12,313,885;1,502,193,817;4,572,662,661;373,118,276;SAMEA110290353;ERS12387961
SAMEA110290354;BbH1;111;20;Brunsbüttel;5;694;Heavy_fraction;Feb 22;77,03;5,62;0,79;101.3379107;;300,48;82,8;10,75;3,696;23,1;4,833;0,034;0,011;2,597;;0,05;0,045564;;;;;;;8,950,352,602;1,923,285,071;2,775,704,443;1,027,548,094;1,278,519,229;3,575,062,218;29,456,706;SAMEA110290354;ERS12387962
SAMEA110290355;BbH2;112;29;Brunsbüttel;5;694;Heavy_fraction;Feb 22;77,03;5,62;0,79;101.3379107;;300,48;82,8;10,77;3,687;24,18;;0,037;0,011;2,571;;0,048;0,048926;;;;;;;8,967,004,421;2,013,204,892;;1,015,470,845;129,246,207;2,765,984,693;29,456,706;SAMEA110290355;ERS12387963
SAMEA110290356;BbF1;113;0,0276;Brunsbüttel;5;694;Free_living;Feb 22;77,03;5,62;0,79;101.3379107;;300,48;;10,75;3,696;23,1;4,833;0,034;0,011;2,597;;0,05;0,045564;;;;;;;8,950,352,602;1,923,285,071;;;;;;SAMEA110290356;ERS12387964
SAMEA110290357;BbF2;114;0,182;Brunsbüttel;5;694;Free_living;Feb 22;77,03;5,62;0,79;101.3379107;;300,48;;10,77;3,687;24,18;;0,037;0,011;2,571;;0,048;0,048926;;;;;;;8,967,004,421;2,013,204,892;;;;;;SAMEA110290357;ERS12387965
SAMEA112714775;ML1;117;31;Mühlenberger Loch;2;633;Light_fraction;Mai 22;55,04;18,89;0,44;35.035571;7,5;159,61;68;7,714;1,784;11,08;0,327;0,04;0,008;1,008;;0,069;0,036386;;;;;;;6,422,606,509;9,225,107,612;6,716,418,768;2,838,644,568;3,266,748,695;2,705,107,501;0,88370118;SAMEA112714775;ERS14712341
SAMEA112714776;ML2;118;18;Mühlenberger Loch;2;633;Light_fraction;Mai 22;55,04;18,89;0,44;35.035571;7,5;159,61;68;7,434;2;11,27;;0,039;0,008;1,024;;0,069;0,037119;;;;;;;6,189,481,046;9,383,299,891;;2,841,590,239;323,827,388;2,413,486,112;0,68732314;SAMEA112714776;ERS14712342
SAMEA112714777;MH1;119;76;Mühlenberger Loch;2;633;Heavy_fraction;Mai 22;55,04;18,89;0,44;35.035571;7,5;159,61;245;7,714;1,784;11,08;0,327;0,04;0,008;1,008;;0,069;0,036386;;;;;;;6,422,606,509;9,225,107,612;1,330,809,685;8,076,046,895;103,000,282;3,428,760,578;186,559,138;SAMEA112714777;ERS14712343
SAMEA112714778;MH2;120;24;Mühlenberger Loch;2;633;Heavy_fraction;Mai 22;55,04;18,89;0,44;35.035571;7,5;159,61;245;7,434;2;11,27;;0,039;0,008;1,024;;0,069;0,037119;;;;;;;6,189,481,046;9,383,299,891;;8,239,040,668;9,779,626,392;4,395,922,425;166,921,334;SAMEA112714778;ERS14712344
SAMEA112714779;MF1;121;5;Mühlenberger Loch;2;633;Free_living;Mai 22;55,04;18,89;0,44;35.035571;7,5;159,61;;7,714;1,784;11,08;0,327;0,04;0,008;1,008;;0,069;0,036386;;;;;;;6,422,606,509;9,225,107,612;;;;;;SAMEA112714779;ERS14712345
SAMEA112714780;MF2;122;9,6;Mühlenberger Loch;2;633;Free_living;Mai 22;55,04;18,89;0,44;35.035571;7,5;159,61;;7,434;2;11,27;;0,039;0,008;1,024;;0,069;0,037119;;;;;;;6,189,481,046;9,383,299,891;;;;;;SAMEA112714780;ERS14712346
SAMEA112714781;SchL1;123;9,1;Schwarztonnensand;4;665;Light_fraction;Mai 22;75,59;16,99;0,98;14.963854;7,8;227,97;39,6;7,286;2,711;11,02;1,184;0,009;0;1,79;;0,033;0,042913;;;;;;;6,066,257,587;9,175,152,156;6,975,291,034;3,427,778,688;4,182,852,252;2,524,439,704;0,88370118;SAMEA112714781;ERS14712347
SAMEA112714782;SchL2;124;13;Schwarztonnensand;4;665;Light_fraction;Mai 22;75,59;16,99;0,98;14.963854;7,8;227,97;39,6;;;10,9;;0,01;0;1,788;;0,033;0,043281;;;;;;;0;9,075,241,243;;3,380,647,959;4,583,463,454;1,631,901,512;0,68732314;SAMEA112714782;ERS14712348
SAMEA112714783;SchH1;125;28;Schwarztonnensand;4;665;Heavy_fraction;Mai 22;75,59;16,99;0,98;14.963854;7,8;227,97;45,2;7,286;2,711;11,02;1,184;0,009;0;1,79;;0,033;0,042913;;;;;;;6,066,257,587;9,175,152,156;-1,281,774,594;4,597,209,916;6,246,785,452;3,351,191,253;0,9818902;SAMEA112714783;ERS14712349
SAMEA112714784;SchH2;126;10;Schwarztonnensand;4;665;Heavy_fraction;Mai 22;75,59;16,99;0,98;14.963854;7,8;227,97;45,2;;;10,9;;0,01;0;1,788;;0,033;0,043281;;;;;;;0;9,075,241,243;;4,444,035,045;5,812,789,984;324,121,955;0,9818902;SAMEA112714784;ERS14712350
SAMEA112714785;SchF1;127;0,61;Schwarztonnensand;4;665;Free_living;Mai 22;75,59;16,99;0,98;14.963854;7,8;227,97;;7,286;2,711;11,02;1,184;0,009;0;1,79;;0,033;0,042913;;;;;;;6,066,257,587;9,175,152,156;;;;;;SAMEA112714785;ERS14712351
SAMEA112714786;SchF2;128;2,52;Schwarztonnensand;4;665;Free_living;Mai 22;75,59;16,99;0,98;14.963854;7,8;227,97;;;;10,9;;0,01;0;1,788;;0,033;0,043281;;;;;;;0;9,075,241,243;;;;;;SAMEA112714786;ERS14712352
SAMEA112714787;MGL1;129;16;Meedem Grund;6;712;Light_fraction;Mai 22;82,72;16,05;10,98;12.738928;7,98;254,65;31,6;8,531;2,461;17,84;0,732;0,015;0,002;1,075;;0,055;0,042637;;;;;;;7,102,833,307;1,485,342,237;560,566,581;3,662,450,446;456,677,132;2,674,668,905;0,58913412;SAMEA112714787;ERS14712353
SAMEA112714788;MGL2;130;13;Meedem Grund;6;712;Light_fraction;Mai 22;82,72;16,05;10,98;12.738928;7,98;254,65;31,6;;;20,58;;0,014;0,003;1,072;;0,055;0,043117;;;;;;;0;1,713,472,154;;3,544,623,622;4,456,799,618;3,028,149,377;0,58913412;SAMEA112714788;ERS14712354
SAMEA112714789;MGH1;131;46;Meedem Grund;6;712;Heavy_fraction;Mai 22;82,72;16,05;10,98;12.738928;7,98;254,65;47,6;8,531;2,461;17,84;0,732;0,015;0,002;1,075;;0,055;0,042637;;;;;;;7,102,833,307;1,485,342,237;2,490,697,712;4,561,861,869;5,733,256,878;2,411,522,331;0,68732314;SAMEA112714789;ERS14712355
SAMEA112714790;MGH2;132;20;Meedem Grund;6;712;Heavy_fraction;Mai 22;82,72;16,05;10,98;12.738928;7,98;254,65;47,6;;;20,58;;0,014;0,003;1,072;;0,055;0,043117;;;;;;;0;1,713,472,154;;422,212,786;6,097,538,142;3,109,646,263;0,78551216;SAMEA112714790;ERS14712356
SAMEA112714791;MGF1;133;4,91;Meedem Grund;6;712;Free_living;Mai 22;82,72;16,05;10,98;12.738928;7,98;254,65;;8,531;2,461;17,84;0,732;0,015;0,002;1,075;;0,055;0,042637;;;;;;;7,102,833,307;1,485,342,237;;;;;;SAMEA112714791;ERS14712357
