AccessionNumber_TBDSven;Sample;Associatednumber;DNA_concentration_ng.uL;Station;StationNumber;Stromkilometer;Sample_type;Sample_date;Sat_O2_TBDHereon;Temperature_TBDHereon;Salinity_TBDHereon;Turbidity_TBDHereon;pH_TBDHereon;O2_TBDHereon;SPM_mgperL;DOC_mg.L;TN_mg.L;DIC_mg.L;Silicate_mg.L;Ammonium_mg.L;Nitrite_mg.L;Nitrate_mg.L;Total_DIN_µM;SRP_mgperL;TotalDissolvedPhosphate_mg.L;Ammonium_µM;Nitrite_µM;Nitrate_µM;SRP_µM;Phosphate_µM;Silicate_µM;DOC_uM.L;DIC_uM.L;RespirationRate_O2ug.L.h;POC_mgperL;PTC_mgperL;PTN_mgperL;PTH_mgperL;BioSample;ERANumber
SAMEA112714792;MGF2;134;4,2;Meedem Grund;6;712;Free_living;Mai 22;82,72;16,05;10,98;12.738928;7,98;254,65;;;;20,58;;0,014;0,003;1,072;;0,055;0,043117;;;;;;;0;1,713,472,154;;;;;;SAMEA112714792;ERS14712358
SAMEA112714793;TL1;135;6,3;Twielenfleth;3;651;Light_fraction;Mai 22;63,4;18,4;0,57;17.591418;7,63;187,07;57;7,219;2,45;10,56;0,619;0,015;0;1,653;;0,033;0,038696;;;;;;;6,010,473,994;8,792,160,324;3,791,206,383;3,962,908,847;520,499,995;3,177,396,687;0,88370118;SAMEA112714793;ERS14712359
SAMEA112714794;TL2;136;18;Twielenfleth;3;651;Light_fraction;Mai 22;63,4;18,4;0,57;17.591418;7,63;187,07;57;;;10,51;;0,018;0;1,669;;0,033;0,039209;;;;;;;0;8,750,530,777;;3,697,798,493;5,025,314,044;3,415,014,116;0,78551216;SAMEA112714794;ERS14712360
SAMEA112714795;TH1;137;27;Twielenfleth;3;651;Heavy_fraction;Mai 22;63,4;18,4;0,57;17.591418;7,63;187,07;107;7,219;2,45;10,56;0,619;0,015;0;1,653;;0,033;0,038696;;;;;;;6,010,473,994;8,792,160,324;0,314036257;7,148,160,656;9,289,663,182;3,356,100,704;137,464,628;SAMEA112714795;ERS14712361
SAMEA112714796;TH2;138;15;Twielenfleth;3;651;Heavy_fraction;Mai 22;63,4;18,4;0,57;17.591418;7,63;187,07;107;;;10,51;;0,018;0;1,669;;0,033;0,039209;;;;;;;0;8,750,530,777;;7,622,413,623;9,057,937,095;3,363,955,825;137,464,628;SAMEA112714796;ERS14712362
SAMEA112714797;TF1;139;1,74;Twielenfleth;3;651;Free_living;Mai 22;63,4;18,4;0,57;17.591418;7,63;187,07;;7,219;2,45;10,56;0,619;0,015;0;1,653;;0,033;0,038696;;;;;;;6,010,473,994;8,792,160,324;;;;;;SAMEA112714797;ERS14712363
SAMEA112714798;TF2;140;2,56;Twielenfleth;3;651;Free_living;Mai 22;63,4;18,4;0,57;17.591418;7,63;187,07;;;;10,51;;0,018;0;1,669;;0,033;0,039209;;;;;;;0;8,750,530,777;;;;;;SAMEA112714798;ERS14712364
SAMEA112714799;BbL1;141;4,51;Brunsbüttel;5;694;Light_fraction;Mai 22;82,12;16,53;4,65;11.035612;7,91;250,09;25,6;6,381;2,075;11,27;0,993;0,011;0,003;1,685;;0,043;0,054151;;;;;;;5,312,762,787;9,383,299,891;-1,266,060,238;2,727,690,976;3,293,259,731;2,145,430,087;0,4909451;SAMEA112714799;ERS14712365
SAMEA112714800;BbL2;142;12;Brunsbüttel;5;694;Light_fraction;Mai 22;82,12;16,53;4,65;11.035612;7,91;250,09;25,6;;;12,6;;0,009;0,003;1,75;;0,043;0,052967;;;;;;;0;1,049,064,584;;2,421,341,233;3,286,386,499;2,899,521,761;0,4909451;SAMEA112714800;ERS14712366
SAMEA112714801;BbH1;143;8,8;Brunsbüttel;5;694;Heavy_fraction;Mai 22;82,12;16,53;4,65;11.035612;7,91;250,09;30,4;6,381;2,075;11,27;0,993;0,011;0,003;1,685;;0,043;0,054151;;;;;;;5,312,762,787;9,383,299,891;-3,248,513,598;2,774,821,705;3,931,488,361;2,168,013,562;0,58913412;SAMEA112714801;ERS14712367
SAMEA112714802;BbH2;144;7,9;Brunsbüttel;5;694;Heavy_fraction;Mai 22;82,12;16,53;4,65;11.035612;7,91;250,09;30,4;;;12,6;;0,009;0,003;1,75;;0,043;0,052967;;;;;;;0;1,049,064,584;;3,006,547,792;3,539,714,171;1,312,787,197;0,58913412;SAMEA112714802;ERS14712368
SAMEA112714803;BbF1;145;3,38;Brunsbüttel;5;694;Free_living;Mai 22;82,12;16,53;4,65;11.035612;7,91;250,09;;6,381;2,075;11,27;0,993;0,011;0,003;1,685;;0,043;0,054151;;;;;;;5,312,762,787;9,383,299,891;;;;;;SAMEA112714803;ERS14712369
SAMEA112714804;BbF2;146;1,44;Brunsbüttel;5;694;Free_living;Mai 22;82,12;16,53;4,65;11.035612;7,91;250,09;;;;12,6;;0,009;0,003;1,75;;0,043;0,052967;;;;;;;0;1,049,064,584;;;;;;SAMEA112714804;ERS14712370
SAMEA112714805;ML1;147;33;Mühlenberger Loch;2;633;Light_fraction;Jun 22;26,94;20,87;0,51;16.87997576;7,31;78,07;62;7,58;1,45;12,1;0,557;0,11;0,034;0,898;;0,049;0,052811;;;;;;;6,313,537,096;1,007,435,037;161,613,372;569,299,938;6,661,143,117;2,697,252,379;117,826,824;SAMEA112714805;ERS14712371
SAMEA112714806;MH1;149;95;Mühlenberger Loch;2;633;Heavy_fraction;Jun 22;26,94;20,87;0,51;16.87997576;7,31;78,07;118;7,58;1,45;12,1;0,557;0,11;0,034;0,898;;0,049;0,052811;;;;;;;6,313,537,096;1,007,435,037;288,488,668;115,126,626;1,467,925,849;3,675,215,019;206,196,942;SAMEA112714806;ERS14712372
SAMEA112714807;MH2;150;27;Mühlenberger Loch;2;633;Heavy_fraction;Jun 22;26,94;20,87;0,51;16.87997576;7,31;78,07;118;;;11,72;;0,107;0,034;0,904;;0,049;0,053796;;;;;;;0;9,757,965,814;;1,217,052,903;1,440,236,545;402,673,171;225,834,746;SAMEA112714807;ERS14712373
SAMEA112714808;MF1;151;5,9;Mühlenberger Loch;2;633;Free_living;Jun 22;26,94;20,87;0,51;16.87997576;7,31;78,07;;7,58;1,45;12,1;0,557;0,11;0,034;0,898;;0,049;0,052811;;;;;;;6,313,537,096;1,007,435,037;;;;;;SAMEA112714808;ERS14712374
SAMEA112714809;MF2;152;12;Mühlenberger Loch;2;633;Free_living;Jun 22;26,94;20,87;0,51;16.87997576;7,31;78,07;;;;11,72;;0,107;0,034;0,904;;0,049;0,053796;;;;;;;0;9,757,965,814;;;;;;SAMEA112714809;ERS14712375
SAMEA112714810;SchL1;153;59;Schwarztonnensand;4;665;Light_fraction;Jun 22;73,08;19,61;0,67;39.82831781;7,67;208,78;151,5;6,53;1,94;10,46;0,654;0,01;0;1,122;;0,046;0,051029;;;;;;;5,435,986,246;870,890,123;-1,064,320,392;1,136,930,663;1,472,638,922;1,845,953,576;24,547,255;SAMEA112714810;ERS14712376
SAMEA112714811;SchL2;154;29;Schwarztonnensand;4;665;Light_fraction;Jun 22;73,08;19,61;0,67;39.82831781;7,67;208,78;151,5;;;10,39;;0,011;0;1,111;;0,046;0,051004;;;;;;;0;8,650,619,864;;1,136,046,961;146,880,955;3,053,678,522;24,547,255;SAMEA112714811;ERS14712377
SAMEA112714812;SchH1;155;52;Schwarztonnensand;4;665;Heavy_fraction;Jun 22;73,08;19,61;0,67;39.82831781;7,67;208,78;393;6,53;1,94;10,46;0,654;0,01;0;1,122;;0,046;0,051029;;;;;;;5,435,986,246;870,890,123;1,504,650,129;2,835,993,465;3,715,472,517;5,599,719,811;657,866,434;SAMEA112714812;ERS14712378
SAMEA112714813;SchH2;156;45;Schwarztonnensand;4;665;Heavy_fraction;Jun 22;73,08;19,61;0,67;39.82831781;7,67;208,78;393;;;10,39;;0,011;0;1,111;;0,046;0,051004;;;;;;;0;8,650,619,864;;2,831,182,203;3,594,110,888;5,707,727,733;628,409,728;SAMEA112714813;ERS14712379
SAMEA112714814;SchF1;157;0,625;Schwarztonnensand;4;665;Free_living;Jun 22;73,08;19,61;0,67;39.82831781;7,67;208,78;;6,53;1,94;10,46;0,654;0,01;0;1,122;;0,046;0,051029;;;;;;;5,435,986,246;870,890,123;;;;;;SAMEA112714814;ERS14712380
SAMEA112714815;SchF2;158;2,01;Schwarztonnensand;4;665;Free_living;Jun 22;73,08;19,61;0,67;39.82831781;7,67;208,78;;;;10,39;;0,011;0;1,111;;0,046;0,051004;;;;;;;0;8,650,619,864;;;;;;SAMEA112714815;ERS14712381
SAMEA112714816;MGL1;159;26;Meedem Grund;6;712;Light_fraction;Jun 22;88,25;18,2;19,93;6.252307913;8,02;235,64;17;5,01;1,11;15,73;0,065;0,002;0;0,217;;0,028;0,037702;;;;;;;4,171,280,608;1,309,665,548;4,202,095,375;3,467,054,296;4,375,302,731;3,078,225,777;0,58913412;SAMEA112714816;ERS14712382
SAMEA112714817;MGL2;160;11;Meedem Grund;6;712;Light_fraction;Jun 22;88,25;18,2;19,93;6.252307913;8,02;235,64;17;;;15,32;;0,003;0;0,22;;0,023;0,037465;;;;;;;0;127,552,932;;3,492,583,441;4,157,323,107;2,826,861,886;0,58913412;SAMEA112714817;ERS14712383
SAMEA112714818;MGH1;161;39;Meedem Grund;6;712;Heavy_fraction;Jun 22;88,25;18,2;19,93;6.252307913;8,02;235,64;34;5,01;1,11;15,73;0,065;0,002;0;0,217;;0,028;0,037702;;;;;;;4,171,280,608;1,309,665,548;1,306,044;6,404,869,775;7,819,773,553;2,241,655,327;0,78551216;SAMEA112714818;ERS14712384
SAMEA112714819;MGF1;163;21;Meedem Grund;6;712;Free_living;Jun 22;88,25;18,2;19,93;6.252307913;8,02;235,64;;5,01;1,11;15,73;0,065;0,002;0;0,217;;0,028;0,037702;;;;;;;4,171,280,608;1,309,665,548;;;;;;SAMEA112714819;ERS14712385
SAMEA112714820;MGF2;164;3,46;Meedem Grund;6;712;Free_living;Jun 22;88,25;18,2;19,93;6.252307913;8,02;235,64;;;;15,32;;0,003;0;0,22;;0,023;0,037465;;;;;;;0;127,552,932;;;;;;SAMEA112714820;ERS14712386
SAMEA112714821;TL1;165;42;Twielenfleth;3;651;Light_fraction;Jun 22;48,35;20,22;0,51;16.62634368;7,47;136,71;56,5;6,66;1,5;9,975;0,587;0,01;0;0,741;;0,037;0,049912;;;;;;;5,541,725,295;8,305,094,624;1,252,293,156;4,680,670,583;5,567,317,434;2,622,628,724;0,9818902;SAMEA112714821;ERS14712387
SAMEA112714822;TL2;166;33;Twielenfleth;3;651;Light_fraction;Jun 22;48,35;20,22;0,51;16.62634368;7,47;136,71;56,5;6,367;1,442;10,03;;0,01;0;0,764;;0,038;0,050524;;;;;;;5,301,106,513;8,350,887,126;;4,438,143,704;5,651,759,991;176,936,614;0,88370118;SAMEA112714822;ERS14712388
SAMEA112714823;TH1;167;10;Twielenfleth;3;651;Heavy_fraction;Jun 22;48,35;20,22;0,51;16.62634368;7,47;136,71;83,5;6,66;1,5;9,975;0,587;0,01;0;0,741;;0,037;0,049912;;;;;;;5,541,725,295;8,305,094,624;8,115,116,036;6,766,205,368;8,697,583,392;1,885,229,184;117,826,824;SAMEA112714823;ERS14712389
SAMEA112714824;TH2;168;37;Twielenfleth;3;651;Heavy_fraction;Jun 22;48,35;20,22;0,51;16.62634368;7,47;136,71;83,5;6,367;1,442;10,03;;0,01;0;0,764;;0,038;0,050524;;;;;;;5,301,106,513;8,350,887,126;;6,450,036,724;8,809,518,874;1,643,684,195;127,645,726;SAMEA112714824;ERS14712390
SAMEA112714825;TF1;169;0,011;Twielenfleth;3;651;Free_living;Jun 22;48,35;20,22;0,51;16.62634368;7,47;136,71;;6,66;1,5;9,975;0,587;0,01;0;0,741;;0,037;0,049912;;;;;;;5,541,725,295;8,305,094,624;;;;;;SAMEA112714825;ERS14712391
SAMEA112714826;TF2;170;2,59;Twielenfleth;3;651;Free_living;Jun 22;48,35;20,22;0,51;16.62634368;7,47;136,71;;6,367;1,442;10,03;;0,01;0;0,764;;0,038;0,050524;;;;;;;5,301,106,513;8,350,887,126;;;;;;SAMEA112714826;ERS14712392
SAMEA112714827;BbL1;171;18;Brunsbüttel;5;694;Light_fraction;Jun 22;80,91;18,74;9,44;12.32557134;7,84;259,02;50,25;6,51;1,81;13,64;0,423;0,007;0;0,561;;0,033;0,042533;;;;;;;5,419,334,427;1,135,654,042;820,908;6,967,492,859;9,334,830,131;3,560,333,865;176,740,236;SAMEA112714827;ERS14712393
SAMEA112714828;BbL2;172;28;Brunsbüttel;5;694;Light_fraction;Jun 22;80,91;18,74;9,44;12.32557134;7,84;259,02;50,25;;;13,56;;0,007;0;0,59;;0,033;0,040536;;;;;;;0;1,128,993,314;;6,771,114,819;917,969,148;294,370,682;14,728,353;SAMEA112714828;ERS14712394
SAMEA112714829;BbH1;173;32;Brunsbüttel;5;694;Heavy_fraction;Jun 22;80,91;18,74;9,44;12.32557134;7,84;259,02;35,5;6,51;1,81;13,64;0,423;0,007;0;0,561;;0,033;0,042533;;;;;;;5,419,334,427;1,135,654,042;117,179,779;5,230,529,095;706,862,755;3,066,443,095;108,007,922;SAMEA112714829;ERS14712395
SAMEA112714830;BbH2;174;18;Brunsbüttel;5;694;Heavy_fraction;Jun 22;80,91;18,74;9,44;12.32557134;7,84;259,02;35,5;;;13,56;;0,007;0;0,59;;0,033;0,040536;;;;;;;0;1,128,993,314;;5,369,957,504;6,830,028,231;2,667,795,673;0,9818902;SAMEA112714830;ERS14712396
SAMEA112714831;BbF1;175;17;Brunsbüttel;5;694;Free_living;Jun 22;80,91;18,74;9,44;12.32557134;7,84;259,02;;6,51;1,81;13,64;0,423;0,007;0;0,561;;0,033;0,042533;;;;;;;5,419,334,427;1,135,654,042;;;;;;SAMEA112714831;ERS14712397
SAMEA112714832;BbF2;176;11;Brunsbüttel;5;694;Free_living;Jun 22;80,91;18,74;9,44;12.32557134;7,84;259,02;;;;13,56;;0,007;0;0,59;;0,033;0,040536;;;;;;;0;1,128,993,314;;;;;;SAMEA112714832;ERS14712398
SAMEA112714833;ML1;177;103;Mühlenberger Loch;2;633;Light_fraction;Nov 22;79,474;12,811;0,482;12.111;7,573;261,742;20;5,712;1,562;12,48;1,865;0,065;0,013;0,716;;0,051;69,621;;;;;;;4,755,759,448;1,039,073,493;94,046,683;1,395,265,974;1,153,720,985;2,125,792,283;0,58913412;SAMEA112714833;ERS14712399
SAMEA112714834;ML2;178;19;Mühlenberger Loch;2;633;Light_fraction;Nov 22;79,474;12,811;0,482;12.111;7,573;261,742;20;;;;;;;;;;;;;;;;;0;0;;1,456,143,167;107,811,544;2,607,900,371;0,39275608;SAMEA112714834;ERS14712400
SAMEA112714835;MH1;179;102;Mühlenberger Loch;2;633;Heavy_fraction;Nov 22;79,474;12,811;0,482;12.111;7,573;261,742;29;5,712;1,562;12,48;1,865;0,065;0,013;0,716;;0,051;69,621;;;;;;;4,755,759,448;1,039,073,493;6,110,053,459;1,595,571,575;1,869,518,941;2,586,298,787;0,39275608;SAMEA112714835;ERS14712401
SAMEA112714836;MH2;180;4,01;Mühlenberger Loch;2;633;Heavy_fraction;Nov 22;79,474;12,811;0,482;12.111;7,573;261,742;29;;;;;;;;;;;;;;;;;0;0;;1,536,658,163;1,711,434,619;1,992,255,216;0,39275608;SAMEA112714836;ERS14712402
SAMEA112714837;MF1;181;70;Mühlenberger Loch;2;633;Free_living;Nov 22;79,474;12,811;0,482;12.111;7,573;261,742;;5,712;1,562;12,48;1,865;0,065;0,013;0,716;;0,051;69,621;;;;;;;4,755,759,448;1,039,073,493;;;;;;SAMEA112714837;ERS14712403
SAMEA112714838;MF2;182;76;Mühlenberger Loch;2;633;Free_living;Nov 22;79,474;12,811;0,482;12.111;7,573;261,742;;;;;;;;;;;;;;;;;;0;0;;;;;;SAMEA112714838;ERS14712404
SAMEA112714839;SchL1;183;167;Schwarztonnensand;4;665;Light_fraction;Nov 22;92,753;12,686;0,814;42.444;7,834;305,706;86;7,057;2,999;17,03;2,53;0,021;0,002;1,662;;0,052;69,39;;;;;;;5,875,594,262;141,790,237;7,741,102,767;2,885,775,298;3,899,085,984;2,445,888,488;0,88370118;SAMEA112714839;ERS14712405
SAMEA112714840;SchL2;184;38;Schwarztonnensand;4;665;Light_fraction;Nov 22;92,753;12,686;0,814;42.444;7,834;305,706;86;;;;;;;;;;;;;;;;;0;0;;289,853,987;3,728,237,089;0,830679109;0,68732314;SAMEA112714840;ERS14712406
SAMEA112714841;SchH1;185;170;Schwarztonnensand;4;665;Heavy_fraction;Nov 22;92,753;12,686;0,814;42.444;7,834;305,706;185;7,057;2,999;17,03;2,53;0,021;0,002;1,662;;0,052;69,39;;;;;;;5,875,594,262;141,790,237;-8,615,742,763;5,417,088,233;7,247,331,566;1,776,239,372;0,9818902;SAMEA112714841;ERS14712407
SAMEA112714842;SchH2;186;173;Schwarztonnensand;4;665;Heavy_fraction;Nov 22;92,753;12,686;0,814;42.444;7,834;305,706;185;;;;;;;;;;;;;;;;;0;0;;5,299,261,409;765,776,167;3,610,410,265;117,826,824;SAMEA112714842;ERS14712408
SAMEA112714843;SchF1;187;0,279;Schwarztonnensand;4;665;Free_living;Nov 22;92,753;12,686;0,814;42.444;7,834;305,706;;7,057;2,999;17,03;2,53;0,021;0,002;1,662;;0,052;69,39;;;;;;;5,875,594,262;141,790,237;;;;;;SAMEA112714843;ERS14712409
SAMEA112714844;SchF2;188;0,0755;Schwarztonnensand;4;665;Free_living;Nov 22;92,753;12,686;0,814;42.444;7,834;305,706;;;;;;;;;;;;;;;;;;0;0;;;;;;SAMEA112714844;ERS14712410
SAMEA112714845;MGL1;189;8,5;Meedem Grund;6;712;Light_fraction;Nov 22;97,38;12,402;12,043;9.134;7,93;301,152;19;3,407;1,054;11,49;0,634;0,059;0,01;0,463;;0,04;56,125;;;;;;;2,836,637,332;9,566,469,898;0,1277006;0,741327101;0,877809839;2,186,669,475;0,39275608;SAMEA112714845;ERS14712411
SAMEA112714846;MGL2;190;3,02;Meedem Grund;6;712;Light_fraction;Nov 22;97,38;12,402;12,043;9.134;7,93;301,152;19;;;;;;;;;;;;;;;;;0;0;;0,858172035;0,999564224;1,869,518,941;0,29456706;SAMEA112714846;ERS14712412
SAMEA112714847;MGH1;191;20;Meedem Grund;6;712;Heavy_fraction;Nov 22;97,38;12,402;12,043;9.134;7,93;301,152;59;3,407;1,054;11,49;0,634;0,059;0,01;0,463;;0,04;56,125;;;;;;;2,836,637,332;9,566,469,898;-9,658,370,163;118,023,202;1,792,931,505;1,832,207,113;0,29456706;SAMEA112714847;ERS14712413
SAMEA112714848;MGH2;192;11;Meedem Grund;6;712;Heavy_fraction;Nov 22;97,38;12,402;12,043;9.134;7,93;301,152;59;;;;;;;;;;;;;;;;;0;0;;1,287,258,052;1,377,591,951;2,678,596,466;0,29456706;SAMEA112714848;ERS14712414
SAMEA112714849;MGF1;193;6,5;Meedem Grund;6;712;Free_living;Nov 22;97,38;12,402;12,043;9.134;7,93;301,152;;3,407;1,054;11,49;0,634;0,059;0,01;0,463;;0,04;56,125;;;;;;;2,836,637,332;9,566,469,898;;;;;;SAMEA112714849;ERS14712415
SAMEA112714850;MGF2;194;0,633;Meedem Grund;6;712;Free_living;Nov 22;97,38;12,402;12,043;9.134;7,93;301,152;;;;;;;;;;;;;;;;;;0;0;;;;;;SAMEA112714850;ERS14712416
SAMEA112714851;TL1;195;134;Twielenfleth;3;651;Light_fraction;Nov 22;82,959;0,532;0,532;51.959;7,659;271,986;138;5,546;1,755;13,1;2,917;0,028;0,001;1,65;;0,04;68,418;;;;;;;4,617,549,352;1,090,694,131;3,465,054,717;476,216,747;6,093,610,581;2,806,242,192;0,78551216;SAMEA112714851;ERS14712417
SAMEA112714852;TL2;196;152;Twielenfleth;3;651;Light_fraction;Nov 22;82,959;0,532;0,532;51.959;7,659;271,986;138;;;;;;;;;;;;;;;;;0;0;;5,100,919,589;5,986,584,549;2,642,266,528;0,88370118;SAMEA112714852;ERS14712418
SAMEA112714853;TH1;197;8,5;Twielenfleth;3;651;Heavy_fraction;Nov 22;82,959;0,532;0,532;51.959;7,659;271,986;358;5,546;1,755;13,1;2,917;0,028;0,001;1,65;;0,04;68,418;;;;;;;4,617,549,352;1,090,694,131;4,446,444,681;1,131,824,834;1,409,994,327;3,347,263,692;24,547,255;SAMEA112714853;ERS14712419
SAMEA112714854;TH2;198;149;Twielenfleth;3;651;Heavy_fraction;Nov 22;82,959;0,532;0,532;51.959;7,659;271,986;358;;;;;;;;;;;;;;;;;0;0;;;;;;SAMEA112714854;ERS14712420
SAMEA112714855;TF1;199;0,276;Twielenfleth;3;651;Free_living;Nov 22;82,959;0,532;0,532;51.959;7,659;271,986;;5,546;1,755;13,1;2,917;0,028;0,001;1,65;;0,04;68,418;;;;;;;4,617,549,352;1,090,694,131;;;;;;SAMEA112714855;ERS14712421
SAMEA112714856;TF2;200;0,353;Twielenfleth;3;651;Free_living;Nov 22;82,959;0,532;0,532;51.959;7,659;271,986;;;;;;;;;;;;;;;;;;0;0;;;;;;SAMEA112714856;ERS14712422
SAMEA112714857;BbL1;201;14;Brunsbüttel;5;694;Light_fraction;Nov 22;96,742;9,221;9,221;10.794;7,91;304,052;35;3,636;1,351;10,78;1,267;0,042;0,01;0,69;;0,04;58,136;;;;;;;3,027,300,657;897,533,033;-1,404,176,833;1,146,847,754;1,331,443,111;2,556,842,081;0,39275608;SAMEA112714857;ERS14712423
SAMEA112714858;BbL2;202;28;Brunsbüttel;5;694;Light_fraction;Nov 22;96,742;9,221;9,221;10.794;7,91;304,052;35;;;;;;;;;;;;;;;;;0;0;;1,155,684,765;0;1,258,783,236;0,39275608;SAMEA112714858;ERS14712424
SAMEA112714859;BbH1;203;34;Brunsbüttel;5;694;Heavy_fraction;Nov 22;96,742;9,221;9,221;10.794;7,91;304,052;38;3,636;1,351;10,78;1,267;0,042;0,01;0,69;;0,04;58,136;;;;;;;3,027,300,657;897,533,033;1,476,852,403;1,420,795,119;1,535,676,273;2,512,657,022;0,29456706;SAMEA112714859;ERS14712425
SAMEA112714860;BbH2;204;20;Brunsbüttel;5;694;Heavy_fraction;Nov 22;96,742;9,221;9,221;10.794;7,91;304,052;38;;;;;;;;;;;;;;;;;0;0;;1,403,121,096;1,738,927,544;2,876,938,286;0,29456706;SAMEA112714860;ERS14712426
SAMEA112714861;BbF1;205;2,65;Brunsbüttel;5;694;Free_living;Nov 22;96,742;9,221;9,221;10.794;7,91;304,052;;3,636;1,351;10,78;1,267;0,042;0,01;0,69;;0,04;58,136;;;;;;;3,027,300,657;897,533,033;;;;;;SAMEA112714861;ERS14712427
SAMEA112714862;BbF2;206;1,28;Brunsbüttel;5;694;Free_living;Nov 22;96,742;9,221;9,221;10.794;7,91;304,052;;;;;;;;;;;;;;;;;;0;0;;;;;;SAMEA112714862;ERS14712428
